ID;Type;Temperature;L;R;A_M;Color;Spectral_Class
0;0;3068;0.0024;0.17;16.12;Red;M
1;0;3042;0.0005;0.1542;16.6;Red;M
2;0;2600;0.0003;0.102;18.7;Red;M
3;0;2800;0.0002;0.16;16.65;Red;M
4;0;1939;0.000138;0.103;20.06;Red;M
5;0;2840;0.00065;0.11;16.98;Red;M
6;0;2637;0.00073;0.127;17.22;Red;M
7;0;2600;0.0004;0.096;17.4;Red;M
8;0;2650;0.00069;0.11;17.45;Red;M
9;0;2700;0.00018;0.13;16.05;Red;M
10;1;3600;0.0029;0.51;10.69;Red;M
11;1;3129;0.0122;0.3761;11.79;Red;M
12;1;3134;0.0004;0.196;13.21;Red;M
13;1;3628;0.0055;0.393;10.48;Red;M
14;1;2650;0.0006;0.14;11.782;Red;M
15;1;3340;0.0038;0.24;13.07;Red;M
16;1;2799;0.0018;0.16;14.79;Red;M
17;1;3692;0.00367;0.47;10.8;Red;M
18;1;3192;0.00362;0.1967;13.53;Red;M
19;1;3441;0.039;0.351;11.18;Red;M
20;2;25000;0.056;0.0084;10.58;Blue White;B
21;2;7740;0.00049;0.01234;14.02;White;A
22;2;7220;0.00017;0.011;14.23;White;F
23;2;8500;0.0005;0.01;14.5;White;A
24;2;16500;0.013;0.014;11.89;Blue White;B
25;2;12990;0.000085;0.00984;12.23;Yellowish White;F
26;2;8570;0.00081;0.0097;14.2;Blue white;A
27;2;7700;0.00011;0.0128;14.47;Yellowish White;F
28;2;11790;0.00015;0.011;12.59;Yellowish White;F
29;2;7230;0.00008;0.013;14.08;Pale yellow orange;F
30;3;39000;204000;10.6;-4.7;Blue;O
31;3;30000;28840;6.3;-4.2;Blue-white;B
32;3;15276;1136;7.2;-1.97;Blue-white;B
33;3;9700;74;2.89;0.16;Whitish;B
34;3;5800;0.81;0.9;5.05;yellow-white;F
35;3;8052;8.7;1.8;2.42;Whitish;A
36;3;6757;1.43;1.12;2.41;yellow-white;F
37;3;6380;1.35;0.98;2.93;yellow-white;F
38;3;5936;1.357;1.106;4.46;yellow-white;F
39;3;5587;0.819;0.99;5.03;yellow-white;F
40;4;3826;200000;19;-6.93;Red;M
41;4;3365;340000;23;-6.2;Red;M
42;4;3270;150000;88;-6.02;Red;M
43;4;3200;195000;17;-7.22;Red;M
